ZIPCode,State,City,Latitude,Longitude
42629,KY,Jamestown,36.95,-85.1
42629,KY,Bryan,36.95,-85.1
42629,KY,Creelsboro,36.95,-85.1
42629,KY,Rowena,36.95,-85.1
42629,KY,Sewellton,36.95,-85.1
42631,KY,Marshes Siding,36.74,-84.48
42631,KY,Marshes Sdng,36.74,-84.48
42633,KY,Monticello,36.81,-84.85
42633,KY,Barrier,36.81,-84.85
42633,KY,Bethesda,36.81,-84.85
42633,KY,Betsey,36.81,-84.85
42633,KY,Coopersville,36.81,-84.85
42633,KY,Delta,36.81,-84.85
42633,KY,Frazer,36.81,-84.85
42633,KY,Frisby,36.81,-84.85
42633,KY,Gregory,36.81,-84.85
42633,KY,Mill Springs,36.81,-84.85
42633,KY,Mount Pisgah,36.81,-84.85
42633,KY,Number One,36.81,-84.85
42633,KY,Oil Valley,36.81,-84.85
42633,KY,Parnell,36.81,-84.85
42633,KY,Powersburg,36.81,-84.85
42633,KY,Pueblo,36.81,-84.85
42633,KY,Ritner,36.81,-84.85
42633,KY,Rockybranch,36.81,-84.85
42633,KY,Slat,36.81,-84.85
42633,KY,Steubenville,36.81,-84.85
42633,KY,Stop,36.81,-84.85
42633,KY,Sunnybrook,36.81,-84.85
42633,KY,Susie,36.81,-84.85
42633,KY,Touristville,36.81,-84.85
42633,KY,Windy,36.81,-84.85
42634,KY,Parkers Lake,36.86,-84.43
42634,KY,Greenwood,36.86,-84.43
42634,KY,Honeybee,36.86,-84.43
42634,KY,Sawyer,36.86,-84.43
42635,KY,Pine Knot,36.66,-84.42
42638,KY,Revelo,36.67,-84.47
42642,KY,Russell Springs,37.05,-85.05
42642,KY,Russell Spgs,37.05,-85.05
42642,KY,Webbs Cross Roads,37.05,-85.05
42642,KY,Webbs Xrds,37.05,-85.05
42647,KY,Stearns,36.71,-84.56
42649,KY,Strunk,36.63,-84.42
42653,KY,Whitley City,36.77,-84.47
42653,KY,Beulah Heights,36.77,-84.47
42701,KY,Elizabethtown,37.71,-85.86
42701,KY,E Town,37.71,-85.86
42702,KY,Elizabethtown,37.69,-85.86
42702,KY,E Town,37.69,-85.86
42712,KY,Big Clifty,37.56,-86.15
42713,KY,Bonnieville,37.38,-85.89
42715,KY,Breeding,36.95,-85.41
42716,KY,Buffalo,37.48,-85.61
42717,KY,Burkesville,36.77,-85.38
42717,KY,Bakerton,36.77,-85.38
42717,KY,Bow,36.77,-85.38
42717,KY,Dubre,36.77,-85.38
42717,KY,Kettle,36.77,-85.38
42717,KY,Peytonsburg,36.77,-85.38
42717,KY,Waterview,36.77,-85.38
42718,KY,Campbellsville,37.36,-85.36
42718,KY,Campbellsvlle,37.36,-85.36
42718,KY,Finley,37.36,-85.36
42719,KY,Campbellsville,37.34,-85.34
42719,KY,Campbellsvlle,37.34,-85.34
42720,KY,Cane Valley,37.17,-85.32
42721,KY,Caneyville,37.41,-86.5
42721,KY,Neafus,37.41,-86.5
42721,KY,Spring Lick,37.41,-86.5
42721,KY,Steff,37.41,-86.5
42722,KY,Canmer,37.28,-85.72
42724,KY,Cecilia,37.65,-86.01
42724,KY,Stephensburg,37.65,-86.01
42724,KY,Vertrees,37.65,-86.01
42726,KY,Clarkson,37.42,-86.17
42726,KY,Millerstown,37.42,-86.17
42726,KY,Peonia,37.42,-86.17
42726,KY,Rock Creek,37.42,-86.17
42726,KY,Wax,37.42,-86.17
42728,KY,Columbia,37.12,-85.29
42728,KY,Casey Creek,37.12,-85.29
42728,KY,Cundiff,37.12,-85.29
42728,KY,Fairplay,37.12,-85.29
42728,KY,Milltown,37.12,-85.29
42728,KY,Montpelier,37.12,-85.29
42729,KY,Cub Run,37.31,-86.13
42732,KY,Eastview,37.6,-86.09
42732,KY,Meeting Creek,37.6,-86.09
42732,KY,Summit,37.6,-86.09
42732,KY,E View,37.6,-86.09
42733,KY,Elk Horn,37.33,-85.17
42740,KY,Glendale,37.6,-85.92
42741,KY,Glens Fork,37,-85.24
42742,KY,Gradyville,37.05,-85.44
42743,KY,Greensburg,37.23,-85.52
42746,KY,Hardyville,37.21,-85.73
42748,KY,Hodgenville,37.57,-85.72
42748,KY,White City,37.57,-85.72
42749,KY,Horse Cave,37.18,-85.89
42749,KY,Park,37.18,-85.89
42753,KY,Knifley,37.23,-85.19
42754,KY,Leitchfield,37.48,-86.3
42755,KY,Leitchfield,37.48,-86.29
42757,KY,Magnolia,37.42,-85.72
42758,KY,Mannsville,37.37,-85.2
42759,KY,Marrowbone,36.83,-85.51
42762,KY,Millwood,37.45,-86.4
42764,KY,Mount Sherman,37.44,-85.63
42765,KY,Munfordville,37.29,-85.91
42765,KY,Rowletts,37.29,-85.91
42776,KY,Sonora,37.52,-85.89
42782,KY,Summersville,37.35,-85.64
42784,KY,Upton,37.46,-85.91
42788,KY,White Mills,37.54,-86.04
43001,OH,Alexandria,40.09,-82.61
43002,OH,Amlin,40.06,-83.17
43003,OH,Ashley,40.41,-82.97
43004,OH,Blacklick,40,-82.8
43005,OH,Bladensburg,40.28,-82.28
43006,OH,Brinkhaven,40.47,-82.16
43007,OH,Broadway,40.34,-83.41
43008,OH,Buckeye Lake,39.93,-82.48
43009,OH,Cable,40.17,-83.64
43010,OH,Catawba,40,-83.62
43011,OH,Centerburg,40.3,-82.68
43013,OH,Croton,40.24,-82.69
43014,OH,Danville,40.47,-82.26
43015,OH,Delaware,40.29,-83.07
43016,OH,Dublin,40.1,-83.15
43017,OH,Dublin,40.11,-83.13
43018,OH,Etna,39.96,-82.68
43019,OH,Fredericktown,40.49,-82.56
43019,OH,Fredricktwn,40.49,-82.56
43021,OH,Galena,40.21,-82.9
43022,OH,Gambier,40.35,-82.35
43023,OH,Granville,40.07,-82.52
43025,OH,Hebron,39.96,-82.51
43026,OH,Hilliard,40.02,-83.16
43027,OH,Homer,40.24,-82.52
43028,OH,Howard,40.41,-82.31
43029,OH,Irwin,40.11,-83.48
43030,OH,Jacksontown,39.96,-82.42
43031,OH,Johnstown,40.15,-82.67
43032,OH,Kilbourne,40.33,-82.96
43033,OH,Kirkersville,39.96,-82.6
43035,OH,Lewis Center,40.17,-83
43036,OH,Magnetic Springs,40.35,-83.26
43036,OH,Magnetic Spgs,40.35,-83.26
43036,OH,Magnetic Spring,40.35,-83.26
43037,OH,Martinsburg,40.28,-82.34
43040,OH,Marysville,40.25,-83.37
43041,OH,Marysville,40.24,-83.37
